id,text,annotation,prompt_id,prompt,temperature,ka_mean,ka_lower,ka_upper
0,"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.",1,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
1,"To ensure Britain's infrastructure needs are properly resourced, we will work in partnership with the private sector, reforming the regulation of energy to improve incentives for the private sector to invest.",1,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
2,"We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
3,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.",1,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
4,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
5,"Tax fairness for everyone. Under a Liberal Democrat government, you will not have to pay any income tax on the first £10,000 you earn.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
6,by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership,0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
7,We have said that Private Finance Initiative (PFI) should not be delivered at the expense of the pay and conditions of the staff employed in these schemes.,0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
8,"Investing in enterprise. Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
9,"Central Government should inform taxpayers of the ways in which their money is raised and spent, just as local councils now do.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
10,"As the other major parties are committed to joining the euro, only the Conservatives can make this pledge.",1,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
11,All lone parents will be invited to employment interviews to help them seek employment opportunities.,0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
12,OPPORTUNITY FOR ALL. Conservatives believe that high standards in education and training are the key to personal opportunity and national success.,1,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
13,We are pledged to measures to enable our fishermen to take full advantage of all their opportunities and to improve and modernise their boats.,0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
14,"People without assets are much more likely to have lower earnings and higher unemployment, and are less likely to start a business or enter higher education.",0,1,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
0,"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.",1,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
1,"To ensure Britain's infrastructure needs are properly resourced, we will work in partnership with the private sector, reforming the regulation of energy to improve incentives for the private sector to invest.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
2,"We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
3,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.",1,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
4,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
5,"Tax fairness for everyone. Under a Liberal Democrat government, you will not have to pay any income tax on the first £10,000 you earn.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
6,by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership,0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
7,We have said that Private Finance Initiative (PFI) should not be delivered at the expense of the pay and conditions of the staff employed in these schemes.,0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
8,"Investing in enterprise. Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
9,"Central Government should inform taxpayers of the ways in which their money is raised and spent, just as local councils now do.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
10,"As the other major parties are committed to joining the euro, only the Conservatives can make this pledge.",1,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
11,All lone parents will be invited to employment interviews to help them seek employment opportunities.,0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
12,OPPORTUNITY FOR ALL. Conservatives believe that high standards in education and training are the key to personal opportunity and national success.,0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
13,We are pledged to measures to enable our fishermen to take full advantage of all their opportunities and to improve and modernise their boats.,0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
14,"People without assets are much more likely to have lower earnings and higher unemployment, and are less likely to start a business or enter higher education.",0,2,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",0.5,0.6448456761050156,-0.10000000000000009,1.0
0,"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.",1,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
1,"To ensure Britain's infrastructure needs are properly resourced, we will work in partnership with the private sector, reforming the regulation of energy to improve incentives for the private sector to invest.",1,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
2,"We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.",0,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
3,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.",1,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
4,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.",0,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
5,"Tax fairness for everyone. Under a Liberal Democrat government, you will not have to pay any income tax on the first £10,000 you earn.",0,7,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",1.0,0.6519996312052408,-0.08333333333333326,1.0
