prompt_id,temperature,prompt_text,original_prompt
0,0.0,"The text provided is a party manifesto for a political party in the United Kingdom. Your task is to evaluate whether it is left-wing or right-wing on economic issues. Respond with 0 for left-wing, or 1 for right-wing.",True
1,0.5,"This is a UK party manifesto excerpt. Decide if it leans left-wing or right-wing economically. Respond with 0 for left-wing, or 1 for right-wing.",False
2,0.5,"Here is a passage from a British political party manifesto. Assess whether its economic stance is left-wing or right-wing. Respond with 0 for left-wing, or 1 for right-wing.",False
7,1.0,"In this excerpt from a UK manifesto, would you say the economics lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",False
8,1.0,"Judging by this British manifesto passage, is the economic angle left-wing or right-wing? Respond with 0 for left-wing, or 1 for right-wing.",False
3,2.0,"Read this excerpt from a UK party's manifesto and judge whether its economic position sits more on the left or the right. Respond with 0 for left-wing, or 1 for right-wing.",False
4,2.0,"Considering the economic content of this British manifesto excerpt, would you call it left-leaning or right-leaning? Respond with 0 for left-wing, or 1 for right-wing.",False
9,3.0,"How would you characterize the economic angle here -- more left-wing or more right-wing? Respond with 0 for left-wing, or 1 for right-wing.",False
10,3.0,"Based on this manifesto snippet, does the economic thinking lean left or right? Respond with 0 for left-wing, or 1 for right-wing.",False
5,4.0,"What's the vibe of this text -- left or right, economically speaking? Respond with 0 for left-wing, or 1 for right-wing.",False
6,4.0,"Politically, does this feel more like a left-wing or right-wing thing to say about the economy? Respond with 0 for left-wing, or 1 for right-wing.",False
11,5.0,"Left or right? Just vibes, economically. Respond with 0 for left-wing, or 1 for right-wing.",False
12,5.0,"Sounds more lefty or righty to you, money-wise? Respond with 0 for left-wing, or 1 for right-wing.",False
