uid,party,year,sentence_text,sentence_context,code,gold_label
UID14370,Labour,2001,"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.","In the labour market, minimum standards for people at work offer dignity and self-esteem. Regulation should be introduced, where it is necessary, in a light-touch way. WE WILL CUT BACK THE RED TAPE ASSOCIATED WITH REGULATION, EXAMINE OPPORTUNITIES TO PUT TIME LIMITS ON REGULATIONS, DEREGULATE BY SECONDARY LEGISLATION, AND OFFER HELP TO SMALL FIRMS. Over 150,000 small businesses have been set up since 1997. We will develop the Small Business Service as an advocate for small business in government and a servant of small businesses around the country.",-1.0,0
UID19941,Labour,2010,"To ensure Britain's infrastructure needs are properly resourced, we will work in partnership with the private sector, reforming the regulation of energy to improve incentives for the private sector to invest.","We will seek to reduce the costs of regulation by more than £6 billion by 2015. 21st Century Infrastructure. The key to creating the industries of the future is renewing the national infrastructure on which firms rely. TO ENSURE BRITAIN'S INFRASTRUCTURE NEEDS ARE PROPERLY RESOURCED, WE WILL WORK IN PARTNERSHIP WITH THE PRIVATE SECTOR, REFORMING THE REGULATION OF ENERGY TO IMPROVE INCENTIVES FOR THE PRIVATE SECTOR TO INVEST. We will establish a Green Investment Bank to invest in low-carbon infrastructure, with the Government's stake funded by the sale of infrastructure assets. The Government will seek to match its contribution with at least £1 billion of private-sector investment.",-1.0,0
UID15523,Liberal Democrats,1997,"We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.","Costing our commitment. We have issued alongside this manifesto a Costings Supplement to show in detail how our proposals will be financed. We will raise the basic rate of income tax by one penny in the pound - from 23p to 24p - to help finance our £2bn per year programme of Education investment. WE WILL INCREASE THE AMOUNT OF INCOME WHICH PEOPLE CAN RECEIVE BEFORE THEY START TO PAY INCOME TAX BY £200 PER YEAR TO £4,245. This tax cut will be paid for by introducing a new rate of income tax of 50%, payable on taxable income of over £100,000 per year. Half a million people will be freed from income tax altogether.",-1.0,0
UID2210,Conservatives,1987,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.","Although youth unemployment has declined in the last year it still remains a problem. Far too many of our youngsters leave school with an education that has failed to prepare them for the world of work. AT THE SAME TIME, BY MAINTAINING HIGH STARTING WAGES COMPARABLE TO THOSE OF FULLY TRAINED CRAFTSMEN, TRADE UNIONS HAVE KEPT MANY OF THEM OUT OF WORK. In 1983 we introduced the first Youth Training Scheme. It is now a national two-year programme aimed at giving young people qualifications for work.",2.0,1
UID6209,Labour,1987,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.","When the Tories talk of freedom, they mean freedom for the few, for those who can afford to buy privilege. What they mean, as their record so plainly shows, is more tax cuts for the rich and less help for the poor and for that great majority who are neither rich nor poor. LABOUR'S OBJECTIVE IS TO BROADEN AND DEEPEN THE LIBERTY OF ALL INDIVIDUALS IN OUR COMMUNITY: TO FREE PEOPLE FROM POVERTY, EXPLOITATION AND FEAR TO FREE THEM TO REALISE THEIR FULL POTENTIAL TO SEE THAT EVERYONE HAS THE LIBERTY TO ENJOY REAL CHANCES, TO MAKE REAL CHOICES. It means collective provision for private use. The British people know that this is the most effective way for them to secure their freedom as individuals whilst meeting the moral obligations which they feel towards others and seeing that fairness is a way of national life, not just a fine word.",-1.0,0
UID6184,Liberal Democrats,2010,"Tax fairness for everyone. Under a Liberal Democrat government, you will not have to pay any income tax on the first £10,000 you earn.","We will cut taxes for millions of working people and pensioners, paid for by making sure that the very wealthy pay their fair share and that polluting air travel is properly taxed. We will boost the state pension by immediately restoring the link with earnings growth. TAX FAIRNESS FOR EVERYONE. UNDER A LIBERAL DEMOCRAT GOVERNMENT, YOU WILL NOT HAVE TO PAY ANY INCOME TAX ON THE FIRST £10,000 YOU EARN. This will put £700 back into the pockets of millions of people on low and middle incomes and free 3.6 million more people on low incomes from having to pay any income tax at all. In this way, we will help people who are struggling to make ends meet and provide an incentive to work and save.",-1.0,0
UID10230,Conservatives,1987,by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership,That is something we must all achieve by our own efforts. But what this Conservative Government has done is to make it easier for people to acquire independence for themselves: by introducing the right to buy council houses BY RETURNING NATIONALISED INDUSTRIES TO THE PEOPLE IN WAYS THAT ENCOURAGE THE WIDEST POSSIBLE SPREAD OF OWNERSHIP by making it easier to buy shares in British industry through employee share schemes and Personal Equity Plans. These opportunities - all too often introduced n the teeth of fierce resistance from the Opposition parties - have achieved spectacular results.,2.0,1
UID18725,Labour,2001,We have said that Private Finance Initiative (PFI) should not be delivered at the expense of the pay and conditions of the staff employed in these schemes.,"And we will build 100 new hospital developments by 2010 and 500 one-stop primary care centres, with over 3,000 GP premises modernised by 2004. We are investing an extra £7 billion of capital investment into the health service. WE HAVE SAID THAT PRIVATE FINANCE INITIATIVE (PFI) SHOULD NOT BE DELIVERED AT THE EXPENSE OF THE PAY AND CONDITIONS OF THE STAFF EMPLOYED IN THESE SCHEMES. We will seek ways in which, within the framework of PFI management, support staff could remain part of the NHS team. Photo Caption: More flexible working hours for NHS staff.",1.0,1
UID10404,Liberal Democrats,1997,"Investing in enterprise. Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.","Our aim is to extend the advantages of TESSAs and PEPs to a wider range of savers by developing a new save-as-you-earn scheme. We will encourage personal and portable pension plans. INVESTING IN ENTERPRISE. SMALL BUSINESS, ENTERPRISE AND SELF-EMPLOYMENT ARE THE ENGINE OF A MODERN DYNAMIC ECONOMY AND A VITAL SOURCE OF NEW JOBS AND GROWTH. We will: Support small and medium-sized businesses. We will encourage the banks to develop new sources of private finance, including grants, equity finance and mutual guarantee schemes.",1.0,1
UID14676,Liberal Democrats,1997,"Central Government should inform taxpayers of the ways in which their money is raised and spent, just as local councils now do.","Some of the information which would be included is provided on the next page. This Annual Tax Contract will be in keeping with our four Tax Pledges:  1) No taxation without explanation. CENTRAL GOVERNMENT SHOULD INFORM TAXPAYERS OF THE WAYS IN WHICH THEIR MONEY IS RAISED AND SPENT, JUST AS LOCAL COUNCILS NOW DO. 2) No promises unless the bill is attached. People have the right to know the Government's priorities and how much they will cost.",-1.0,0
